,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,26.0,58.0,-1.0,39.0,70.0,-1.0,91.0,42.0,-1.0,89.0,3.0,78.0,-1.0,86.0,84.0,0.0,-1.0,26.0,84.0,-1.0,70.0,26.0,-1.0,89.0,42.0,85.0,-1.0,82.0,84.0,17.0,58.0
1,85.0,32.0,17.0,-1.0,76.0,17.0,-1.0,3.0,42.0,-1.0,17.0,89.0,-1.0,17.0,0.0,84.0,58.0,-1.0,76.0,76.0,-1.0,35.0,60.0,-1.0,0.0,58.0,-1.0,5.0,84.0,84.0,84.0
2,58.0,-1.0,7.0,17.0,-1.0,7.0,85.0,-1.0,84.0,85.0,-1.0,0.0,9.0,3.0,32.0,85.0,-1.0,58.0,5.0,-1.0,85.0,84.0,7.0,26.0,85.0,17.0,-1.0,39.0,17.0,-1.0,17.0
3,5.0,-1.0,74.0,37.0,-1.0,3.0,82.0,85.0,17.0,84.0,85.0,-1.0,17.0,85.0,-1.0,84.0,26.0,58.0,-1.0,85.0,32.0,-1.0,84.0,58.0,-1.0,26.0,84.0,-1.0,0.0,84.0,39.0
4,42.0,84.0,-1.0,77.0,17.0,84.0,58.0,17.0,-1.0,86.0,58.0,-1.0,86.0,26.0,84.0,91.0,26.0,85.0,-1.0,52.0,86.0,-1.0,75.0,17.0,-1.0,17.0,5.0,84.0,37.0,-1.0,-1.0
5,17.0,-1.0,84.0,84.0,26.0,-1.0,82.0,26.0,-1.0,85.0,84.0,-1.0,9.0,0.0,29.0,-1.0,26.0,84.0,-1.0,17.0,85.0,39.0,84.0,-1.0,84.0,58.0,17.0,-1.0,75.0,64.0,0.0
6,0.0,0.0,-1.0,84.0,37.0,-1.0,3.0,26.0,85.0,-1.0,17.0,91.0,-1.0,58.0,78.0,-1.0,85.0,58.0,17.0,-1.0,91.0,26.0,85.0,76.0,-1.0,42.0,58.0,-1.0,84.0,84.0,26.0
7,26.0,84.0,3.0,12.0,58.0,-1.0,9.0,85.0,-1.0,76.0,17.0,-1.0,32.0,85.0,-1.0,17.0,3.0,85.0,-1.0,5.0,42.0,-1.0,75.0,26.0,3.0,17.0,58.0,-1.0,85.0,3.0,-1.0
8,-1.0,17.0,0.0,17.0,-1.0,84.0,52.0,-1.0,42.0,70.0,-1.0,26.0,86.0,-1.0,85.0,84.0,17.0,5.0,76.0,37.0,-1.0,0.0,17.0,84.0,17.0,85.0,42.0,-1.0,58.0,84.0,-1.0
9,-1.0,84.0,86.0,58.0,7.0,-1.0,17.0,84.0,-1.0,58.0,58.0,-1.0,42.0,58.0,-1.0,26.0,86.0,91.0,-1.0,84.0,7.0,17.0,86.0,-1.0,84.0,85.0,-1.0,17.0,84.0,26.0,0.0
10,91.0,75.0,0.0,-1.0,60.0,86.0,-1.0,0.0,3.0,39.0,-1.0,26.0,58.0,-1.0,32.0,17.0,-1.0,17.0,85.0,58.0,-1.0,42.0,85.0,-1.0,84.0,85.0,85.0,74.0,-1.0,26.0,85.0
11,58.0,-1.0,58.0,26.0,-1.0,76.0,85.0,70.0,-1.0,26.0,91.0,42.0,17.0,-1.0,0.0,84.0,29.0,-1.0,86.0,0.0,-1.0,26.0,85.0,39.0,-1.0,84.0,7.0,26.0,-1.0,84.0,58.0
12,75.0,0.0,-1.0,17.0,58.0,-1.0,86.0,78.0,58.0,-1.0,74.0,84.0,-1.0,91.0,7.0,17.0,-1.0,75.0,26.0,58.0,91.0,-1.0,17.0,85.0,84.0,84.0,86.0,-1.0,85.0,29.0,-1.0
13,3.0,85.0,-1.0,3.0,17.0,85.0,-1.0,3.0,85.0,5.0,86.0,84.0,85.0,-1.0,58.0,85.0,-1.0,85.0,17.0,-1.0,-1.0,58.0,32.0,-1.0,17.0,84.0,32.0,-1.0,17.0,85.0,37.0
14,84.0,17.0,-1.0,58.0,0.0,-1.0,77.0,58.0,-1.0,12.0,26.0,85.0,-1.0,26.0,91.0,-1.0,84.0,0.0,26.0,-1.0,26.0,91.0,17.0,58.0,3.0,-1.0,91.0,82.0,58.0,-1.0,35.0
15,29.0,-1.0,76.0,9.0,85.0,79.0,58.0,17.0,-1.0,0.0,42.0,85.0,-1.0,17.0,58.0,-1.0,17.0,84.0,86.0,-1.0,0.0,86.0,5.0,-1.0,17.0,60.0,-1.0,86.0,29.0,-1.0,17.0
16,17.0,84.0,86.0,3.0,17.0,-1.0,17.0,85.0,26.0,84.0,85.0,-1.0,80.0,84.0,-1.0,58.0,85.0,-1.0,-1.0,-1.0,17.0,60.0,-1.0,0.0,29.0,76.0,-1.0,85.0,89.0,85.0,39.0
17,84.0,17.0,0.0,0.0,26.0,-1.0,17.0,58.0,17.0,-1.0,9.0,86.0,85.0,-1.0,89.0,58.0,-1.0,74.0,0.0,-1.0,42.0,85.0,-1.0,17.0,3.0,-1.0,5.0,82.0,17.0,-1.0,84.0
18,26.0,85.0,37.0,-1.0,85.0,86.0,-1.0,84.0,85.0,-1.0,81.0,82.0,26.0,84.0,84.0,58.0,-1.0,26.0,86.0,74.0,-1.0,58.0,26.0,-1.0,42.0,85.0,-1.0,58.0,17.0,-1.0,17.0
19,-1.0,26.0,58.0,-1.0,84.0,17.0,-1.0,84.0,5.0,17.0,84.0,-1.0,84.0,39.0,26.0,-1.0,17.0,86.0,60.0,-1.0,3.0,91.0,58.0,85.0,-1.0,9.0,84.0,3.0,-1.0,42.0,52.0
20,-1.0,42.0,75.0,-1.0,85.0,70.0,-1.0,85.0,82.0,26.0,-1.0,37.0,17.0,-1.0,84.0,42.0,58.0,-1.0,76.0,26.0,91.0,-1.0,91.0,17.0,60.0,78.0,-1.0,3.0,9.0,85.0,26.0
