运营区,平均工时(小时),休息,早班,晨班,白班,跳班,中班,午班,夜班
SH,175.12,总数=329(次)平均=8.89(次),总数=219(次)平均=5.92(次)平均时长=7.0(小时),总数=136(次)平均=3.68(次)平均时长=8.0(小时),总数=200(次)平均=5.41(次)平均时长=8.19(小时),总数=99(次)平均=2.68(次)平均时长=8.47(小时),总数=58(次)平均=1.57(次)平均时长=8.0(小时),总数=106(次)平均=2.86(次)平均时长=8.1(小时),总数=0(次)平均=0(次)平均时长=0(小时)
SZ,165.1,总数=549(次)平均=9.8(次),总数=361(次)平均=6.45(次)平均时长=7.03(小时),总数=240(次)平均=4.29(次)平均时长=8.02(小时),总数=342(次)平均=6.11(次)平均时长=8.08(小时),总数=123(次)平均=2.2(次)平均时长=8.45(小时),总数=9(次)平均=0.16(次)平均时长=8.0(小时),总数=112(次)平均=2.0(次)平均时长=8.06(小时),总数=0(次)平均=0(次)平均时长=0(小时)
WH,170.59,总数=1935(次)平均=9.13(次),总数=1333(次)平均=6.29(次)平均时长=7.0(小时),总数=855(次)平均=4.03(次)平均时长=8.01(小时),总数=1300(次)平均=6.13(次)平均时长=8.11(小时),总数=512(次)平均=2.42(次)平均时长=8.33(小时),总数=94(次)平均=0.44(次)平均时长=8.0(小时),总数=543(次)平均=2.56(次)平均时长=8.1(小时),总数=0(次)平均=0(次)平均时长=0(小时)
