date,time_pt,demand,cover,difference
2019/08/26,00:00,0,0.0,0.0
2019/08/26,00:30,0,0.0,0.0
2019/08/26,01:00,0,0.0,0.0
2019/08/26,01:30,0,0.0,0.0
2019/08/26,02:00,0,0.0,0.0
2019/08/26,02:30,0,0.0,0.0
2019/08/26,03:00,0,0.0,0.0
2019/08/26,03:30,0,0.0,0.0
2019/08/26,04:00,0,0.0,0.0
2019/08/26,04:30,0,0.0,0.0
2019/08/26,05:00,0,0.0,0.0
2019/08/26,05:30,0,0.0,0.0
2019/08/26,06:00,0,0.0,0.0
2019/08/26,06:30,0,0.0,0.0
2019/08/26,07:00,20,21.0,1.0
2019/08/26,07:30,42,44.0,2.0
2019/08/26,08:00,76,79.0,3.0
2019/08/26,08:30,116,120.0,4.0
2019/08/26,09:00,160,160.0,0.0
2019/08/26,09:30,174,188.0,14.0
2019/08/26,10:00,180,188.0,8.0
2019/08/26,10:30,175,188.0,13.0
2019/08/26,11:00,166,167.0,1.0
2019/08/26,11:30,145,149.0,4.0
2019/08/26,12:00,114,114.0,0.0
2019/08/26,12:30,99,105.0,6.0
2019/08/26,13:00,98,104.0,6.0
2019/08/26,13:30,112,127.0,15.0
2019/08/26,14:00,131,147.0,16.0
2019/08/26,14:30,142,165.0,23.0
2019/08/26,15:00,144,172.0,28.0
2019/08/26,15:30,144,161.0,17.0
2019/08/26,16:00,140,144.0,4.0
2019/08/26,16:30,129,137.0,8.0
2019/08/26,17:00,116,118.0,2.0
2019/08/26,17:30,103,103.0,0.0
2019/08/26,18:00,92,93.0,1.0
2019/08/26,18:30,77,80.0,3.0
2019/08/26,19:00,50,62.0,12.0
2019/08/26,19:30,44,49.0,5.0
2019/08/26,20:00,36,49.0,13.0
2019/08/26,20:30,36,44.0,8.0
2019/08/26,21:00,38,44.0,6.0
2019/08/26,21:30,32,32.0,0.0
2019/08/26,22:00,28,32.0,4.0
2019/08/26,22:30,21,22.0,1.0
2019/08/26,23:00,15,15.0,0.0
2019/08/26,23:30,0,0.0,0.0
2019/08/27,00:00,0,0.0,0.0
2019/08/27,00:30,0,0.0,0.0
2019/08/27,01:00,0,0.0,0.0
2019/08/27,01:30,0,0.0,0.0
2019/08/27,02:00,0,0.0,0.0
2019/08/27,02:30,0,0.0,0.0
2019/08/27,03:00,0,0.0,0.0
2019/08/27,03:30,0,0.0,0.0
2019/08/27,04:00,0,0.0,0.0
2019/08/27,04:30,0,0.0,0.0
2019/08/27,05:00,0,0.0,0.0
2019/08/27,05:30,0,0.0,0.0
2019/08/27,06:00,0,0.0,0.0
2019/08/27,06:30,0,0.0,0.0
2019/08/27,07:00,25,27.0,2.0
2019/08/27,07:30,44,56.0,12.0
2019/08/27,08:00,74,76.0,2.0
2019/08/27,08:30,112,112.0,0.0
2019/08/27,09:00,148,149.0,1.0
2019/08/27,09:30,160,189.0,29.0
2019/08/27,10:00,169,189.0,20.0
2019/08/27,10:30,162,189.0,27.0
2019/08/27,11:00,149,162.0,13.0
2019/08/27,11:30,139,140.0,1.0
2019/08/27,12:00,106,134.0,28.0
2019/08/27,12:30,88,123.0,35.0
2019/08/27,13:00,88,95.0,7.0
2019/08/27,13:30,99,118.0,19.0
2019/08/27,14:00,121,141.0,20.0
2019/08/27,14:30,133,153.0,20.0
2019/08/27,15:00,137,166.0,29.0
2019/08/27,15:30,138,154.0,16.0
2019/08/27,16:00,125,137.0,12.0
2019/08/27,16:30,122,130.0,8.0
2019/08/27,17:00,107,110.0,3.0
2019/08/27,17:30,95,95.0,0.0
2019/08/27,18:00,87,94.0,7.0
2019/08/27,18:30,72,72.0,0.0
2019/08/27,19:00,52,72.0,20.0
2019/08/27,19:30,43,54.0,11.0
2019/08/27,20:00,35,54.0,19.0
2019/08/27,20:30,40,47.0,7.0
2019/08/27,21:00,39,47.0,8.0
2019/08/27,21:30,31,47.0,16.0
2019/08/27,22:00,26,34.0,8.0
2019/08/27,22:30,22,22.0,0.0
2019/08/27,23:00,18,22.0,4.0
2019/08/27,23:30,0,0.0,0.0
2019/08/28,00:00,0,0.0,0.0
2019/08/28,00:30,0,0.0,0.0
2019/08/28,01:00,0,0.0,0.0
2019/08/28,01:30,0,0.0,0.0
2019/08/28,02:00,0,0.0,0.0
2019/08/28,02:30,0,0.0,0.0
2019/08/28,03:00,0,0.0,0.0
2019/08/28,03:30,0,0.0,0.0
2019/08/28,04:00,0,0.0,0.0
2019/08/28,04:30,0,0.0,0.0
2019/08/28,05:00,0,0.0,0.0
2019/08/28,05:30,0,0.0,0.0
2019/08/28,06:00,0,0.0,0.0
2019/08/28,06:30,0,0.0,0.0
2019/08/28,07:00,25,30.0,5.0
2019/08/28,07:30,42,63.0,21.0
2019/08/28,08:00,73,77.0,4.0
2019/08/28,08:30,111,121.0,10.0
2019/08/28,09:00,140,145.0,5.0
2019/08/28,09:30,155,180.0,25.0
2019/08/28,10:00,157,180.0,23.0
2019/08/28,10:30,160,180.0,20.0
2019/08/28,11:00,147,150.0,3.0
2019/08/28,11:30,126,127.0,1.0
2019/08/28,12:00,97,132.0,35.0
2019/08/28,12:30,88,119.0,31.0
2019/08/28,13:00,89,98.0,9.0
2019/08/28,13:30,96,125.0,29.0
2019/08/28,14:00,120,158.0,38.0
2019/08/28,14:30,128,158.0,30.0
2019/08/28,15:00,129,163.0,34.0
2019/08/28,15:30,128,143.0,15.0
2019/08/28,16:00,123,130.0,7.0
2019/08/28,16:30,113,120.0,7.0
2019/08/28,17:00,99,117.0,18.0
2019/08/28,17:30,91,100.0,9.0
2019/08/28,18:00,80,89.0,9.0
2019/08/28,18:30,68,69.0,1.0
2019/08/28,19:00,48,69.0,21.0
2019/08/28,19:30,41,61.0,20.0
2019/08/28,20:00,35,61.0,26.0
2019/08/28,20:30,39,51.0,12.0
2019/08/28,21:00,38,51.0,13.0
2019/08/28,21:30,33,40.0,7.0
2019/08/28,22:00,26,27.0,1.0
2019/08/28,22:30,23,27.0,4.0
2019/08/28,23:00,18,27.0,9.0
2019/08/28,23:30,0,0.0,0.0
2019/08/29,00:00,0,0.0,0.0
2019/08/29,00:30,0,0.0,0.0
2019/08/29,01:00,0,0.0,0.0
2019/08/29,01:30,0,0.0,0.0
2019/08/29,02:00,0,0.0,0.0
2019/08/29,02:30,0,0.0,0.0
2019/08/29,03:00,0,0.0,0.0
2019/08/29,03:30,0,0.0,0.0
2019/08/29,04:00,0,0.0,0.0
2019/08/29,04:30,0,0.0,0.0
2019/08/29,05:00,0,0.0,0.0
2019/08/29,05:30,0,0.0,0.0
