运营区,平均工时(小时),休息,早班,晨班,白班,跳班,中班,午班,夜班
SH,191.25,总数=296(次)平均=8.0(次),总数=158(次)平均=4.27(次)平均时长=8.0(小时),总数=140(次)平均=3.78(次)平均时长=8.29(小时),总数=280(次)平均=7.57(次)平均时长=8.28(小时),总数=89(次)平均=2.41(次)平均时长=9.0(小时),总数=66(次)平均=1.78(次)平均时长=8.0(小时),总数=118(次)平均=3.19(次)平均时长=8.47(小时),总数=0(次)平均=0(次)平均时长=0(小时)
SZ,190.4,总数=448(次)平均=8.0(次),总数=276(次)平均=4.93(次)平均时长=8.0(小时),总数=207(次)平均=3.7(次)平均时长=8.35(小时),总数=408(次)平均=7.29(次)平均时长=8.18(小时),总数=126(次)平均=2.25(次)平均时长=9.0(小时),总数=91(次)平均=1.62(次)平均时长=8.0(小时),总数=180(次)平均=3.21(次)平均时长=8.5(小时),总数=0(次)平均=0(次)平均时长=0(小时)
WH,190.71,总数=1696(次)平均=8.0(次),总数=1078(次)平均=5.08(次)平均时长=8.0(小时),总数=814(次)平均=3.84(次)平均时长=8.38(小时),总数=1640(次)平均=7.74(次)平均时长=8.25(小时),总数=454(次)平均=2.14(次)平均时长=9.0(小时),总数=244(次)平均=1.15(次)平均时长=8.0(小时),总数=646(次)平均=3.05(次)平均时长=8.44(小时),总数=0(次)平均=0(次)平均时长=0(小时)
