date,time_pt,demand,cover,difference
2019/08/26,00:00,0,0.0,0.0
2019/08/26,00:30,0,0.0,0.0
2019/08/26,01:00,0,0.0,0.0
2019/08/26,01:30,0,0.0,0.0
2019/08/26,02:00,0,0.0,0.0
2019/08/26,02:30,0,0.0,0.0
2019/08/26,03:00,0,0.0,0.0
2019/08/26,03:30,0,0.0,0.0
2019/08/26,04:00,0,0.0,0.0
2019/08/26,04:30,0,0.0,0.0
2019/08/26,05:00,0,0.0,0.0
2019/08/26,05:30,0,0.0,0.0
2019/08/26,06:00,0,0.0,0.0
2019/08/26,06:30,0,0.0,0.0
2019/08/26,07:00,20,21.0,1.0
2019/08/26,07:30,42,44.0,2.0
2019/08/26,08:00,76,86.0,10.0
2019/08/26,08:30,116,119.0,3.0
2019/08/26,09:00,160,169.0,9.0
2019/08/26,09:30,174,190.0,16.0
2019/08/26,10:00,180,190.0,10.0
2019/08/26,10:30,175,190.0,15.0
2019/08/26,11:00,166,169.0,3.0
2019/08/26,11:30,145,147.0,2.0
2019/08/26,12:00,114,136.0,22.0
2019/08/26,12:30,99,136.0,37.0
2019/08/26,13:00,98,98.0,0.0
2019/08/26,13:30,112,120.0,8.0
2019/08/26,14:00,131,153.0,22.0
2019/08/26,14:30,142,166.0,24.0
2019/08/26,15:00,144,187.0,43.0
2019/08/26,15:30,144,187.0,43.0
2019/08/26,16:00,140,166.0,26.0
2019/08/26,16:30,129,160.0,31.0
2019/08/26,17:00,116,150.0,34.0
2019/08/26,17:30,103,114.0,11.0
2019/08/26,18:00,92,106.0,14.0
2019/08/26,18:30,77,82.0,5.0
2019/08/26,19:00,50,92.0,42.0
2019/08/26,19:30,44,71.0,27.0
2019/08/26,20:00,36,71.0,35.0
2019/08/26,20:30,36,60.0,24.0
2019/08/26,21:00,38,60.0,22.0
2019/08/26,21:30,32,32.0,0.0
2019/08/26,22:00,28,32.0,4.0
2019/08/26,22:30,21,32.0,11.0
2019/08/26,23:00,15,23.0,8.0
2019/08/26,23:30,0,0.0,0.0
2019/08/27,00:00,0,0.0,0.0
2019/08/27,00:30,0,0.0,0.0
2019/08/27,01:00,0,0.0,0.0
2019/08/27,01:30,0,0.0,0.0
2019/08/27,02:00,0,0.0,0.0
2019/08/27,02:30,0,0.0,0.0
2019/08/27,03:00,0,0.0,0.0
2019/08/27,03:30,0,0.0,0.0
2019/08/27,04:00,0,0.0,0.0
2019/08/27,04:30,0,0.0,0.0
2019/08/27,05:00,0,0.0,0.0
2019/08/27,05:30,0,0.0,0.0
2019/08/27,06:00,0,0.0,0.0
2019/08/27,06:30,0,0.0,0.0
2019/08/27,07:00,25,38.0,13.0
2019/08/27,07:30,44,51.0,7.0
2019/08/27,08:00,74,92.0,18.0
2019/08/27,08:30,112,139.0,27.0
2019/08/27,09:00,148,162.0,14.0
2019/08/27,09:30,160,203.0,43.0
2019/08/27,10:00,169,203.0,34.0
2019/08/27,10:30,162,203.0,41.0
2019/08/27,11:00,149,165.0,16.0
2019/08/27,11:30,139,144.0,5.0
2019/08/27,12:00,106,182.0,76.0
2019/08/27,12:30,88,149.0,61.0
2019/08/27,13:00,88,95.0,7.0
2019/08/27,13:30,99,104.0,5.0
2019/08/27,14:00,121,171.0,50.0
2019/08/27,14:30,133,171.0,38.0
2019/08/27,15:00,137,212.0,75.0
2019/08/27,15:30,138,212.0,74.0
2019/08/27,16:00,125,174.0,49.0
2019/08/27,16:30,122,148.0,26.0
2019/08/27,17:00,107,127.0,20.0
2019/08/27,17:30,95,134.0,39.0
2019/08/27,18:00,87,114.0,27.0
2019/08/27,18:30,72,77.0,5.0
2019/08/27,19:00,52,96.0,44.0
2019/08/27,19:30,43,55.0,12.0
2019/08/27,20:00,35,55.0,20.0
2019/08/27,20:30,40,42.0,2.0
2019/08/27,21:00,39,42.0,3.0
2019/08/27,21:30,31,42.0,11.0
2019/08/27,22:00,26,42.0,16.0
2019/08/27,22:30,22,29.0,7.0
2019/08/27,23:00,18,19.0,1.0
2019/08/27,23:30,0,0.0,0.0
2019/08/28,00:00,0,0.0,0.0
2019/08/28,00:30,0,0.0,0.0
2019/08/28,01:00,0,0.0,0.0
2019/08/28,01:30,0,0.0,0.0
2019/08/28,02:00,0,0.0,0.0
2019/08/28,02:30,0,0.0,0.0
2019/08/28,03:00,0,0.0,0.0
2019/08/28,03:30,0,0.0,0.0
2019/08/28,04:00,0,0.0,0.0
2019/08/28,04:30,0,0.0,0.0
2019/08/28,05:00,0,0.0,0.0
2019/08/28,05:30,0,0.0,0.0
2019/08/28,06:00,0,0.0,0.0
2019/08/28,06:30,0,0.0,0.0
2019/08/28,07:00,25,43.0,18.0
2019/08/28,07:30,42,43.0,1.0
2019/08/28,08:00,73,104.0,31.0
2019/08/28,08:30,111,116.0,5.0
2019/08/28,09:00,140,142.0,2.0
2019/08/28,09:30,155,191.0,36.0
2019/08/28,10:00,157,191.0,34.0
2019/08/28,10:30,160,191.0,31.0
2019/08/28,11:00,147,148.0,1.0
2019/08/28,11:30,126,141.0,15.0
2019/08/28,12:00,97,161.0,64.0
2019/08/28,12:30,88,144.0,56.0
2019/08/28,13:00,89,118.0,29.0
2019/08/28,13:30,96,178.0,82.0
2019/08/28,14:00,120,190.0,70.0
2019/08/28,14:30,128,190.0,62.0
2019/08/28,15:00,129,239.0,110.0
2019/08/28,15:30,128,239.0,111.0
2019/08/28,16:00,123,196.0,73.0
2019/08/28,16:30,113,168.0,55.0
2019/08/28,17:00,99,141.0,42.0
2019/08/28,17:30,91,105.0,14.0
2019/08/28,18:00,80,94.0,14.0
2019/08/28,18:30,68,82.0,14.0
2019/08/28,19:00,48,107.0,59.0
2019/08/28,19:30,41,58.0,17.0
2019/08/28,20:00,35,58.0,23.0
2019/08/28,20:30,39,48.0,9.0
2019/08/28,21:00,38,38.0,0.0
2019/08/28,21:30,33,38.0,5.0
2019/08/28,22:00,26,33.0,7.0
2019/08/28,22:30,23,25.0,2.0
2019/08/28,23:00,18,25.0,7.0
2019/08/28,23:30,0,0.0,0.0
2019/08/29,00:00,0,0.0,0.0
2019/08/29,00:30,0,0.0,0.0
2019/08/29,01:00,0,0.0,0.0
2019/08/29,01:30,0,0.0,0.0
2019/08/29,02:00,0,0.0,0.0
2019/08/29,02:30,0,0.0,0.0
2019/08/29,03:00,0,0.0,0.0
2019/08/29,03:30,0,0.0,0.0
2019/08/29,04:00,0,0.0,0.0
2019/08/29,04:30,0,0.0,0.0
2019/08/29,05:00,0,0.0,0.0
2019/08/29,05:30,0,0.0,0.0
